"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","score","gender","age","seconds_elapsed"
4,4,2,2,4,2,3,5,3,4,2,5,2,1,4,4,2,0,5,2,68,1,24,177
2,2,4,4,4,2,2,2,4,4,2,4,2,2,3,2,2,4,5,2,60,2,33,107
4,5,4,1,4,2,2,4,4,3,2,2,2,1,2,4,4,2,5,4,69,2,21,647
3,4,2,4,4,2,2,2,4,3,2,4,4,3,3,4,2,4,5,1,64,1,21,323
4,4,3,2,4,3,4,5,4,3,1,5,3,2,4,2,2,3,4,2,70,1,17,136
4,5,2,3,5,0,3,4,3,3,1,2,4,4,5,4,1,4,5,4,74,1,22,142
5,5,5,2,4,3,2,4,4,2,2,4,4,2,4,2,2,4,4,5,75,1,21,144
4,4,3,1,5,3,2,4,2,2,1,4,4,2,4,1,2,5,5,3,81,1,55,123
1,3,5,2,4,4,3,1,4,4,2,3,1,4,3,4,3,3,4,1,49,1,40,196
3,3,5,2,4,2,4,4,3,4,1,5,4,2,1,2,2,4,5,2,66,2,30,128
3,3,5,2,4,2,4,4,3,4,1,5,4,2,1,2,2,4,5,2,66,2,30,619
2,1,2,4,3,4,4,4,5,5,2,4,3,4,2,2,2,3,4,4,54,1,65,168
3,2,4,2,4,5,4,5,4,4,3,4,2,2,4,4,4,2,5,1,58,1,21,149
5,3,2,2,4,2,2,4,3,3,1,4,4,2,3,2,3,3,4,4,76,1,23,144
4,2,3,4,2,4,1,2,5,4,3,5,2,4,2,2,2,4,4,2,55,1,17,252
3,4,4,3,4,2,2,3,4,4,2,4,3,3,4,2,2,3,5,2,65,1,24,149
4,4,3,2,2,3,2,4,4,2,2,2,3,3,4,2,2,4,4,2,66,1,20,161
3,4,3,4,2,2,2,4,4,3,1,4,5,2,5,4,2,4,5,5,72,1,20,113
4,3,2,1,3,2,2,3,3,3,1,5,4,1,2,3,1,5,3,3,72,1,27,311
2,4,4,3,3,4,3,2,4,4,3,3,2,4,4,2,3,4,2,2,54,2,48,190
4,5,3,4,2,2,1,2,4,2,2,1,2,2,3,1,1,4,5,1,63,1,54,130
3,4,4,4,2,5,4,4,5,4,4,3,4,2,3,2,3,3,4,2,55,1,17,255
2,2,2,2,4,4,2,4,4,4,2,3,2,2,2,2,4,4,4,1,62,1,20,293
5,4,1,2,4,2,1,1,4,2,2,5,2,3,2,2,2,4,4,4,72,1,24,155
4,2,3,1,4,4,2,4,4,4,1,4,3,2,2,2,2,3,3,3,65,2,20,218
5,3,2,2,4,3,2,3,3,2,1,1,3,2,3,1,2,4,4,4,72,1,19,119
5,5,4,2,5,1,1,2,2,3,1,3,1,1,3,3,2,3,5,1,71,2,26,358
2,4,2,4,4,2,2,2,4,2,2,4,2,2,4,2,2,4,5,2,67,1,32,170
2,3,3,3,3,2,3,2,3,3,2,4,3,3,3,2,2,4,4,2,62,1,56,167
2,4,1,1,5,2,1,5,3,2,2,4,4,3,4,2,4,5,5,2,81,1,31,152
4,2,2,4,2,3,2,2,4,4,3,4,2,2,2,4,2,4,3,1,54,2,29,213
2,4,2,2,5,3,2,2,4,3,1,4,4,2,2,2,2,5,5,4,72,2,30,321
2,1,3,2,4,3,2,1,5,5,2,2,2,3,3,4,3,3,4,3,53,1,31,229
4,2,4,2,4,2,1,2,2,2,2,4,5,2,4,1,1,4,4,3,73,1,20,158
3,4,4,2,4,2,1,2,4,3,3,4,1,2,5,2,1,4,5,3,67,1,13,259
4,4,1,2,3,1,2,3,3,2,1,3,3,2,4,2,2,1,5,4,74,1,24,236
3,4,3,3,4,3,2,3,4,3,2,3,3,2,3,3,2,4,3,3,64,1,62,181
5,5,2,4,2,4,1,5,4,4,2,2,4,1,3,3,2,2,4,1,64,1,18,164
