Date 	Total Members 	Active Members
2012-03-10 	1 	1
2012-03-11 	1 	1
2012-03-12 	1 	1
2012-03-13 	7 	7
2012-03-14 	17 	17
2012-03-15 	20 	20
2012-03-16 	20 	20
2012-03-17 	21 	21
2012-03-18 	21 	21
2012-03-19 	22 	22
2012-03-20 	22 	22
2012-03-21 	23 	23
2012-03-22 	23 	23
2012-03-23 	23 	23
2012-03-24 	23 	23
2012-03-25 	23 	23
2012-03-26 	23 	23
2012-03-27 	23 	23
2012-03-28 	23 	23
2012-03-29 	24 	24
2012-03-30 	24 	24
2012-03-31 	24 	24
2012-04-01 	24 	24
2012-04-02 	24 	24
2012-04-03 	24 	24
2012-04-04 	24 	24
2012-04-05 	24 	24
2012-04-06 	24 	24
2012-04-07 	24 	24
2012-04-08 	24 	24
2012-04-09 	24 	24
2012-04-10 	24 	24
2012-04-11 	24 	24
2012-04-12 	24 	19
2012-04-13 	24 	12
2012-04-15 	24 	10
2012-04-16 	26 	11
2012-04-17 	27 	12
2012-04-18 	27 	12
2012-04-19 	27 	11
2012-04-20 	29 	13
2012-04-21 	29 	12
2012-04-22 	29 	10
2012-04-23 	29 	10
2012-04-24 	29 	9
2012-04-25 	29 	9
2012-04-26 	29 	9
2012-04-27 	29 	9
2012-04-28 	30 	10
2012-04-29 	30 	11
2012-04-30 	31 	15
2012-05-01 	33 	18
2012-05-02 	33 	18
2012-05-03 	33 	18
2012-05-04 	33 	18
2012-05-05 	33 	18
2012-05-06 	33 	20
2012-05-07 	34 	21
2012-05-08 	34 	21
2012-05-09 	34 	22
2012-05-10 	35 	23
2012-05-11 	35 	23
2012-05-12 	35 	23
2012-05-13 	35 	23
2012-05-14 	35 	23
2012-05-15 	36 	24
2012-05-16 	36 	22
2012-05-17 	37 	22
2012-05-18 	37 	24
2012-05-19 	37 	24
2012-05-20 	37 	24
2012-05-21 	37 	24
2012-05-22 	37 	24
2012-05-23 	37 	25
2012-05-24 	37 	25
2012-05-25 	37 	25
2012-05-26 	38 	26
2012-05-27 	39 	27
2012-05-28 	39 	27
2012-05-29 	40 	28
2012-05-30 	41 	28
2012-05-31 	41 	28
2012-06-01 	41 	28
2012-06-02 	43 	30
2012-06-03 	43 	30
2012-06-04 	43 	30
2012-06-05 	43 	30
2012-06-06 	43 	28
2012-06-07 	42 	26
2012-06-08 	42 	26
2012-06-09 	42 	27
2012-06-10 	42 	27
2012-06-11 	42 	28
2012-06-12 	42 	29
2012-06-13 	42 	29
2012-06-14 	42 	28
2012-06-15 	42 	28
2012-06-16 	42 	28
2012-06-17 	42 	25
2012-06-18 	42 	25
2012-06-19 	42 	25
2012-06-20 	42 	25
2012-06-21 	42 	25
2012-06-22 	42 	25
2012-06-23 	42 	24
2012-06-24 	42 	24
2012-06-25 	42 	24
2012-06-26 	42 	23
2012-06-27 	43 	24
2012-06-28 	43 	23
2012-06-29 	43 	23
2012-06-30 	44 	24
2012-07-01 	44 	24
2012-07-02 	44 	22
2012-07-03 	44 	22
2012-07-04 	44 	22
2012-07-05 	44 	22
2012-07-06 	44 	22
2012-07-07 	44 	22
2012-07-08 	44 	22
2012-07-09 	44 	19
2012-07-10 	44 	19
2012-07-11 	44 	18
2012-07-12 	44 	18
2012-07-13 	44 	15
2012-07-14 	44 	14
2012-07-15 	43 	12
2012-07-16 	43 	8
2012-07-17 	44 	9
2012-07-18 	44 	9
2012-07-19 	44 	9
2012-07-20 	44 	10
2012-07-21 	44 	10
2012-07-22 	44 	9
2012-07-23 	44 	9
2012-07-24 	45 	10
2012-07-25 	45 	10
2012-07-26 	45 	8
2012-07-27 	45 	8
2012-07-28 	45 	8
2012-07-29 	45 	8
2012-07-30 	45 	8
2012-07-31 	45 	8
2012-08-01 	45 	8
2012-08-02 	46 	10
2012-08-03 	46 	10
2012-08-04 	46 	9
2012-08-05 	46 	10
2012-08-06 	46 	11
2012-08-07 	47 	13
2012-08-08 	47 	13
2012-08-09 	47 	13
2012-08-10 	47 	13
2012-08-11 	47 	13
2012-08-12 	47 	13
2012-08-13 	47 	13
2012-08-14 	47 	13
2012-08-15 	47 	13
2012-08-16 	48 	14
2012-08-17 	48 	14
2012-08-18 	48 	14
2012-08-19 	49 	15
2012-08-20 	49 	15
2012-08-21 	50 	16
2012-08-22 	51 	17
2012-08-23 	51 	17
2012-08-24 	51 	17
2012-08-25 	51 	17
2012-08-26 	51 	16
2012-08-27 	51 	16
2012-08-28 	51 	16
2012-08-29 	53 	20
2012-08-30 	53 	21
2012-08-31 	53 	23
2012-09-01 	53 	21
2012-09-02 	53 	21
2012-09-03 	53 	21
2012-09-04 	53 	21
2012-09-05 	53 	20
2012-09-06 	54 	21
2012-09-07 	54 	20
2012-09-08 	54 	19
2012-09-09 	54 	20
2012-09-10 	54 	20
2012-09-11 	54 	20
2012-09-12 	54 	20
2012-09-13 	54 	20
2012-09-14 	54 	20
2012-09-15 	54 	19
2012-09-16 	54 	19
2012-09-17 	54 	19
2012-09-18 	54 	18
2012-09-19 	54 	19
2012-09-20 	54 	19
2012-09-21 	54 	20
2012-09-22 	54 	20
2012-09-23 	54 	20
2012-09-24 	54 	20
2012-09-25 	54 	21
2012-09-26 	54 	21
2012-09-27 	54 	21
2012-09-28 	54 	17
2012-09-29 	55 	16
2012-09-30 	55 	14
2012-10-01 	55 	14
2012-10-02 	55 	13
2012-10-03 	55 	13
2012-10-04 	55 	13
2012-10-05 	55 	13
2012-10-06 	54 	12
2012-10-07 	55 	13
2012-10-08 	56 	14
2012-10-09 	56 	13
2012-10-10 	56 	13
2012-10-11 	56 	12
2012-10-12 	57 	12
2012-10-13 	57 	12
2012-10-14 	57 	13
2012-10-15 	57 	14
2012-10-16 	57 	14
2012-10-17 	56 	14
2012-10-18 	56 	14
2012-10-19 	56 	13
2012-10-20 	56 	13
2012-10-21 	56 	12
2012-10-22 	56 	12
2012-10-23 	56 	12
2012-10-24 	56 	12
2012-10-25 	56 	12
2012-10-26 	56 	12
2012-10-27 	56 	13
2012-10-28 	56 	12
2012-10-29 	56 	10
2012-10-30 	56 	10
2012-10-31 	57 	11
2012-11-01 	57 	11
2012-11-02 	57 	11
2012-11-03 	57 	11
2012-11-04 	57 	11
2012-11-05 	58 	12
2012-11-06 	58 	12
2012-11-07 	58 	10
2012-11-08 	58 	10
2012-11-09 	58 	10
2012-11-10 	58 	10
2012-11-11 	58 	9
2012-11-12 	58 	9
2012-11-13 	58 	12
2012-11-14 	58 	17
2012-11-15 	58 	17
2012-11-16 	59 	19
2012-11-17 	59 	19
2012-11-18 	59 	18
2012-11-19 	59 	18
2012-11-20 	59 	18
2012-11-21 	59 	19
2012-11-22 	59 	19
2012-11-23 	59 	19
2012-11-24 	59 	18
2012-11-25 	59 	18
2012-11-26 	59 	18
2012-11-27 	59 	19
2012-11-28 	60 	20
2012-11-29 	60 	21
2012-11-30 	60 	21
2012-12-01 	60 	21
2012-12-02 	61 	22
2012-12-03 	61 	22
2012-12-04 	62 	23
2012-12-05 	63 	25
2012-12-06 	63 	25
2012-12-07 	63 	25
2012-12-08 	64 	26
2012-12-09 	64 	25
2012-12-10 	64 	25
2012-12-11 	64 	25
2012-12-12 	64 	25
2012-12-13 	65 	26
2012-12-14 	65 	24
2012-12-15 	65 	24
2012-12-16 	65 	22
2012-12-17 	65 	22
2012-12-18 	65 	23
2012-12-19 	65 	24
2012-12-20 	65 	24
2012-12-21 	65 	23
2012-12-22 	65 	24
2012-12-23 	65 	24
2012-12-24 	65 	23
2012-12-25 	65 	23
2012-12-26 	65 	23
2012-12-27 	65 	22
2012-12-28 	65 	21
2012-12-29 	65 	21
2012-12-30 	65 	22
2012-12-31 	65 	22
2013-01-01 	65 	22
2013-01-02 	65 	23
2013-01-03 	65 	23
2013-01-04 	65 	21
2013-01-05 	65 	18
2013-01-06 	65 	18
2013-01-07 	65 	19
2013-01-08 	65 	19
2013-01-09 	66 	20
2013-01-10 	66 	19
2013-01-11 	66 	19
2013-01-12 	66 	19
2013-01-13 	66 	19
2013-01-14 	66 	19
2013-01-15 	67 	20
2013-01-16 	67 	20
2013-01-17 	67 	19
2013-01-18 	66 	19
2013-01-19 	66 	19
2013-01-20 	66 	19
2013-01-21 	66 	20
2013-01-22 	66 	21
2013-01-23 	67 	22
2013-01-24 	67 	25
2013-01-25 	67 	25
2013-01-26 	68 	26
2013-01-27 	68 	25
2013-01-28 	68 	25
2013-01-29 	68 	24
2013-01-30 	69 	26
2013-01-31 	70 	27
2013-02-01 	70 	28
2013-02-02 	70 	27
2013-02-03 	70 	27
2013-02-04 	70 	26
2013-02-05 	70 	26
2013-02-06 	70 	25
2013-02-07 	70 	26
2013-02-08 	70 	28
2013-02-09 	70 	28
2013-02-10 	71 	28
2013-02-11 	71 	29
2013-02-12 	71 	29
2013-02-13 	73 	30
2013-02-14 	73 	30
2013-02-15 	73 	32
2013-02-16 	73 	32
2013-02-17 	73 	32
2013-02-18 	73 	32
2013-02-19 	74 	33
2013-02-20 	74 	32
2013-02-21 	74 	32
2013-02-22 	74 	32
2013-02-23 	74 	31
2013-02-24 	75 	32
2013-02-25 	76 	32
2013-02-26 	76 	32
2013-02-27 	76 	32
2013-02-28 	77 	33
2013-03-01 	77 	33
2013-03-02 	77 	31
2013-03-03 	77 	29
2013-03-04 	76 	31
2013-03-05 	77 	32
2013-03-06 	77 	33
2013-03-07 	77 	33
2013-03-08 	77 	33
2013-03-09 	77 	33
2013-03-10 	77 	32
2013-03-11 	77 	31
2013-03-12 	77 	31
2013-03-13 	78 	30
2013-03-14 	78 	30
2013-03-15 	78 	29
2013-03-16 	78 	30
2013-03-17 	78 	26
2013-03-18 	78 	25
2013-03-19 	81 	29
2013-03-20 	81 	30
2013-03-21 	83 	31
2013-03-22 	86 	35
2013-03-23 	86 	35
2013-03-24 	86 	35
2013-03-25 	86 	34
2013-03-26 	87 	34
2013-03-27 	88 	37
2013-03-28 	88 	40
2013-03-29 	89 	41
2013-03-30 	89 	39
2013-03-31 	89 	38
2013-04-01 	89 	38
2013-04-02 	89 	38
2013-04-03 	90 	38
2013-04-04 	90 	37
2013-04-05 	91 	38
